País;Salario Promedio;Salario Promedio Jóvenes;Satisfacción de Vida;Índice de Seguridad;Porcentaje de Trabajadores Extranjeros;Principales Países de Origen de Trabajadores Extranjeros;Coste de vida (Índice)
Suiza;4627.35;4000.0;7.586;80;30%;Italia, Portugal, Alemania, España;117,3
Luxemburgo;4799.96;3600.0;7.437;85;47%;Portugal, Francia, Italia, Bélgica;71,7
Países Bajos;3172.58;2800.0;7.464;82;29%;Alemania, Polonia, Turquía, Rumanía;67,5
Alemania;2837.86;2700.0;7.261;78;15%;Turquía, Polonia, Italia, Rumanía;66
Dinamarca;3419.34;3500.0;7.556;83;12%;Suecia, Polonia, Alemania, Irak;79,2
Noruega;3075.08;3000.0;7.353;85;17%;Suecia, Polonia, Lituania, Somalia;82,2
Irlanda;2984.47;2400.0;7.392;78;18%;Polonia, Lituania, Nigeria, Rumanía;70,4
Suecia;2639.88;2600.0;7.571;83;20%;Siria, Irak, Somalia, Polonia;60,9
Finlandia;2608.91;2400.0;7.349;80;14%;Estonia, Rusia, Suecia, Somalia;68,7
Bélgica;2414.17;2200.0;7.352;78;10%;Francia, Marruecos, Italia, España;65,8
Francia;2274.16;2100.0;6.826;76;10%;Argelia, Marruecos, Portugal, Italia;69,1
Austria;2439.87;2300.0;7.352;75;13%;Turquía, Alemania, Serbia, Hungría;68,7
Reino Unido;2780.28;2400.0;6.703;74;17%;India, Polonia, Pakistán, Rumanía;63,6
Italia;1660.37;1700.0;5.428;69;11%;Rumanía, Albania, Marruecos, China;61
España;1789.50;1600.0;5.319;67;10%;Rumanía, Marruecos, Ecuador, China;49,9
Eslovenia;1516.36;1500.0;7.071;75;9%;Bosnia y Herzegovina, Croacia, Serbia;51,6
Portugal;1000.46;1000.0;7.176;68;5%;Brasil, Cabo Verde, Ucrania, Angola;46,1
República Checa;1441.18;1300.0;7.258;70;7%;Ucrania, Eslovaquia, Vietnam, Rusia;52,8
Estonia;1453.61;1300.0;6.504;71;9%;Rusia, Ucrania, Finlandia, Letonia;55,9
Polonia;1363.03;1200.0;6.303;67;7%;Ucrania, Bielorrusia, Alemania, Vietnam;44,7
Eslovaquia;1055.62;1000.0;6.497;68;6%;Ucrania, República Checa, Rumanía, Hungría;47,5
Hungría;933.37;900.0;6.451;66;5%;Rumanía, Eslovaquia, Serbia, Ucrania;48
Lituania;1229.87;1100.0;6.421;65;6%;Polonia, Rusia, Bielorrusia, Ucrania;49,9
Letonia;1100.97;1000.0;6.293;64;6%;Rusia, Bielorrusia, Ucrania, Polonia;51
Grecia;932.40;800.0;5.732;61;8%;Albania, Bulgaria, Rumanía, Siria;53,2
Croacia;1346.67;1200.0;5.667;63;7%;Bosnia y Herzegovina, Serbia, Alemania;47,4
Rumanía;876.72;800.0;5.465;59;6%;Moldova, Ucrania, Hungría, Italia;43,1
Bulgaria;900.60;830.0;6.263;60;7%;Turquía, Rumanía, Grecia, Serbia;41,3
Serbia;674.93;600.0;6.293;58;6%;Bosnia y Herzegovina, Montenegro, Alemania;40,5
Bosnia y Herzegovina;634.20;590.0;6.493;55;5%;Serbia, Croacia, Montenegro;40,4
Montenegro;736.11;700.0;5.978;54;6%;Serbia, Bosnia y Herzegovina, Albania;42,4
